,Boro,DCP_Boro,PUMA_ID,CD_Label,CD_Name,Pop16plE,Pop16plM,Pop16plP,LFE,LFM,LFP,LFZ,CvLFE,CvLFM,CvLFP,CvEm16plE,CvEm16plM,CvEm16plP,CvLFUEmE,CvLFUEmM,CvLFUEmP,CvLFUEmZ,LFArmdFE,LFArmdFM,LFArmdFP,LFArmdFZ,NLFE,NLFM,NLFP,NLFZ,CvLFE.1,CvLFM.1,CvLFP.1,CvLFZ.1,PctUEmP,PctUEmZ,F16plE,F16plM,F16plP,F16plLFE,F16plLFM,F16plLFP,F16plLFZ,F16plCvLFE,F16plCvLFM,F16plCvLFP,F16plCvLFZ,F16plCLFEE,F16plCLFEM,F16plCLFEP,F16plCLFEZ,OChU6E,OChU6M,OChU6P,OChU6Z,OChU6PLFE,OChU6PLFM,OChU6PLFP,OChU6PLFZ,OCh6t17E,OCh6t17M,OCh6t17P,OCh6t17Z,OC6t17PLFE,OC6t17PLFM,OC6t17PLFP,OC6t17PLFZ,Wrkr16plE,Wrkr16plM,Wrkr16plP,Wrkr16plZ,CW_DrvAlnE,CW_DrvAlnM,CW_DrvAlnP,CW_DrvAlnZ,CW_CrpldE,CW_CrpldM,CW_CrpldP,CW_CrpldZ,CW_PbTrnsE,CW_PbTrnsM,CW_PbTrnsP,CW_PbTrnsZ,CW_WlkdE,CW_WlkdM,CW_WlkdP,CW_WlkdZ,CW_OthE,CW_OthM,CW_OthP,CW_OthZ,CW_WrkdHmE,CW_WrkdHmM,CW_WrkdHmP,CW_WrkdHmZ,MnTrvTmE,MnTrvTmM,CvEm16plE.1,CvEm16plM.1,CvEm16plP.1,CvEm16plZ.1,MgBSciArtE,MgBSciArtM,MgBSciArtP,MgBSciArtZ,SrvcE,SrvcM,SrvcP,SrvcZ,SalesOffE,SalesOffM,SalesOffP,SalesOffZ,NRCnstMntE,NRCnstMntM,NRCnstMntP,NRCnstMntZ,PrdTrnsMME,PrdTrnsMMM,PrdTrnsMMP,PrdTrnsMMZ,CvEm16plE.2,CvEm16plM.2,CvEm16plP.2,CvEm16plZ.2,AgFFHME,AgFFHMM,AgFFHMP,AgFFHMZ,ConstctnE,ConstctnM,ConstctnP,ConstctnZ,MnfctrngE,MnfctrngM,MnfctrngP,MnfctrngZ,WhlsaleE,WhlsaleM,WhlsaleP,WhlsaleZ,RetailE,RetailM,RetailP,RetailZ,TrWHUtE,TrWHUtM,TrWHUtP,TrWHUtZ,InfoE,InfoM,InfoP,InfoZ,FIREE,FIREM,FIREP,FIREZ,PrfSMgAWME,PrfSMgAWMM,PrfSMgAWMP,PrfSMgAWMZ,EdHlthCSAE,EdHlthCSAM,EdHlthCSAP,EdHlthCSAZ,ArtEnRAFSE,ArtEnRAFSM,ArtEnRAFSP,ArtEnRAFSZ,OthnotPAE,OthnotPAM,OthnotPAP,OthnotPAZ,PubAdminE,PubAdminM,PubAdminP,PubAdminZ,CvEm16plE.3,CvEm16plM.3,CvEm16plP.3,CvEm16plZ.3,PrvWSWrkrE,PrvWSWrkrM,PrvWSWrkrP,PrvWSWrkrZ,GvtWrkrE,GvtWrkrM,GvtWrkrP,GvtWrkrZ,SlfEmNIncE,SlfEmNIncM,SlfEmNIncP,SlfEmNIncZ,UpdFmWrkrE,UpdFmWrkrM,UpdFmWrkrP,UpdFmWrkrZ,num_rides
0,5,2,3701,8,"Riverdale, Fieldston & Kingsbridge",87625,1880,87625,54886,1536,62.6,1.4,54870,1540,62.6,48373,1516,55.2,6497,572,7.4,0.6,16,27,0.0,0.1,32739,1490,37.4,1.4,54870,1540,54870,(X),11.8,1.0,47660,1128,47660,27672,1086,58.1,1.9,27672,1086,58.1,1.9,24360,1029,51.1,1.9,8767,628,8767,(X),6299,692,71.8,5.2,13497,864,13497,(X),9673,908,71.7,3.7,46920,1477,46920,(X),11536,738,24.6,1.5,2422,406,5.2,0.8,26234,1257,55.9,1.7,3701,526,7.9,1.1,891,244,1.9,0.5,2136,340,4.6,0.7,43.4,1.0,48373,1516,48373,(X),19017,1052,39.3,1.8,12215,848,25.3,1.5,11501,789,23.8,1.5,2084,460,4.3,0.9,3556,446,7.4,0.9,48373,1516,48373,(X),289,290,0.6,0.6,1399,308,2.9,0.6,1245,239,2.6,0.5,938,229,1.9,0.5,4543,561,9.4,1.1,2159,358,4.5,0.7,1591,303,3.3,0.6,4483,526,9.3,1.0,4766,467,9.9,1.0,16578,903,34.3,1.5,5674,641,11.7,1.2,2933,402,6.1,0.8,1775,285,3.7,0.6,48373,1516,48373,(X),37858,1455,78.3,1.8,7428,734,15.4,1.4,3037,445,6.3,0.9,50,42,0.1,0.1,105
1,5,2,3702,12,"Wakefield, Williamsbridge & Woodlawn",111053,1861,111053,71325,1704,64.2,1.0,71279,1713,64.2,60032,1653,54.1,11247,828,10.1,0.7,46,73,0.0,0.1,39728,1310,35.8,1.0,71279,1713,71279,(X),15.8,1.1,62235,1346,62235,38531,1004,61.9,1.2,38531,1004,61.9,1.2,33175,1100,53.3,1.5,10836,743,10836,(X),7887,617,72.8,4.2,22811,1014,22811,(X),17620,909,77.2,2.2,58079,1615,58079,(X),19604,1105,33.8,1.6,3056,435,5.3,0.7,30827,1184,53.1,1.5,2424,323,4.2,0.6,700,212,1.2,0.4,1468,344,2.5,0.6,45.1,0.9,60032,1653,60032,(X),16916,946,28.2,1.2,19161,826,31.9,1.4,13544,990,22.6,1.4,4806,506,8.0,0.8,5605,516,9.3,0.9,60032,1653,60032,(X),70,81,0.1,0.1,3123,440,5.2,0.7,1609,321,2.7,0.5,880,218,1.5,0.4,6551,558,10.9,0.8,4213,452,7.0,0.8,1170,252,1.9,0.4,3735,450,6.2,0.7,4635,466,7.7,0.7,23749,1019,39.6,1.5,4434,557,7.4,0.9,3717,505,6.2,0.8,2146,308,3.6,0.5,60032,1653,60032,(X),47643,1478,79.4,1.1,10372,711,17.3,1.1,1961,349,3.3,0.6,56,49,0.1,0.1,191036
2,5,2,3703,10,"Co-op City, Pelham Bay & Schuylerville",103004,2261,103004,61537,2144,59.7,1.4,61500,2142,59.7,54916,1978,53.3,6584,851,6.4,0.8,37,40,0.0,0.1,41467,1513,40.3,1.4,61500,2142,61500,(X),10.7,1.3,55925,1637,55925,32209,1352,57.6,1.5,32209,1352,57.6,1.5,28961,1291,51.8,1.7,7254,724,7254,(X),5666,733,78.1,5.3,15719,1218,15719,(X),11960,1127,76.1,4.0,53541,2051,53541,(X),23277,1406,43.5,2.3,3964,606,7.4,1.1,21941,1476,41.0,2.3,2687,538,5.0,1.0,497,200,0.9,0.4,1175,360,2.2,0.7,42.7,1.1,54916,1978,54916,(X),18665,1401,34.0,2.3,13302,1295,24.2,2.1,15180,1028,27.6,1.7,3486,566,6.3,1.0,4283,623,7.8,1.1,54916,1978,54916,(X),31,33,0.1,0.1,2687,519,4.9,0.9,1324,326,2.4,0.6,1020,224,1.9,0.4,5044,678,9.2,1.1,4184,695,7.6,1.3,1259,336,2.3,0.6,5588,720,10.2,1.3,5736,857,10.4,1.5,18528,1334,33.7,2.1,3999,714,7.3,1.2,2002,390,3.6,0.7,3514,572,6.4,1.0,54916,1978,54916,(X),40013,2242,72.9,2.4,13192,1204,24.0,2.3,1711,408,3.1,0.8,0,27,0.0,0.1,608353
3,5,2,3704,11,"Pelham Parkway, Morris Park & Laconia",102666,1866,102666,64077,1775,62.4,1.2,64062,1775,62.4,55416,1552,54.0,8646,684,8.4,0.6,15,20,0.0,0.1,38589,1301,37.6,1.2,64062,1775,64062,(X),13.5,0.9,54189,1303,54189,31029,992,57.3,1.4,31029,992,57.3,1.4,26882,869,49.6,1.3,9413,751,9413,(X),6402,619,68.0,4.0,20223,946,20223,(X),14239,929,70.4,3.1,53749,1501,53749,(X),15814,919,29.4,1.4,3411,438,6.3,0.8,27513,1239,51.2,1.9,4817,589,9.0,1.1,929,235,1.7,0.4,1265,334,2.4,0.6,40.5,0.9,55416,1552,55416,(X),16881,707,30.5,1.3,15604,1036,28.2,1.4,12740,663,23.0,1.2,4471,437,8.1,0.7,5720,550,10.3,0.9,55416,1552,55416,(X),38,42,0.1,0.1,3342,391,6.0,0.7,2397,475,4.3,0.9,813,185,1.5,0.3,6081,517,11.0,0.9,3737,434,6.7,0.8,1065,258,1.9,0.5,3961,403,7.1,0.7,4362,453,7.9,0.8,18667,923,33.7,1.5,6323,757,11.4,1.3,2571,377,4.6,0.7,2059,318,3.7,0.6,55416,1552,55416,(X),43792,1587,79.0,1.3,9184,673,16.6,1.2,2412,361,4.4,0.7,28,37,0.1,0.1,52692
4,5,2,3705,3 & 6,"Belmont, Crotona Park East & East Tremont",121772,2473,121772,67206,1938,55.2,1.2,67178,1947,55.2,54710,1871,44.9,12468,999,10.2,0.8,28,53,0.0,0.1,54566,1941,44.8,1.2,67178,1947,67178,(X),18.6,1.4,67835,1643,67835,35091,1245,51.7,1.5,35091,1245,51.7,1.5,28429,1119,41.9,1.4,16646,1103,16646,(X),10440,914,62.7,3.5,30777,1292,30777,(X),20760,1156,67.5,2.8,53208,1873,53208,(X),8597,745,16.2,1.3,1802,418,3.4,0.8,34324,1575,64.5,1.9,5040,536,9.5,0.9,1481,510,2.8,0.9,1964,387,3.7,0.7,42.3,1.0,54710,1871,54710,(X),9628,685,17.6,1.2,21238,1135,38.8,1.6,12882,928,23.5,1.4,3757,454,6.9,0.8,7205,827,13.2,1.4,54710,1871,54710,(X),191,145,0.3,0.3,2135,373,3.9,0.7,1895,345,3.5,0.6,865,190,1.6,0.4,7101,792,13.0,1.3,4231,641,7.7,1.1,939,268,1.7,0.5,3245,448,5.9,0.8,4497,587,8.2,1.0,17595,866,32.2,1.3,6146,625,11.2,1.1,3973,474,7.3,0.8,1897,316,3.5,0.6,54710,1871,54710,(X),44018,1676,80.5,1.4,7445,617,13.6,1.1,3164,690,5.8,1.2,83,75,0.2,0.1,18421
5,5,2,3706,7,"Bedford Park, Fordham North & Norwood",95683,2232,95683,60047,1843,62.8,1.4,60020,1845,62.7,50673,1699,53.0,9347,873,9.8,0.9,27,29,0.0,0.1,35636,1658,37.2,1.4,60020,1845,60020,(X),15.6,1.3,51127,1294,51127,28868,1158,56.5,1.8,28857,1162,56.4,1.8,24395,1050,47.7,1.9,11746,846,11746,(X),7583,672,64.6,4.1,19176,982,19176,(X),13298,1048,69.3,3.9,49494,1713,49494,(X),7029,684,14.2,1.4,2063,373,4.2,0.7,33243,1551,67.2,1.8,4728,494,9.6,1.0,770,209,1.6,0.4,1661,334,3.4,0.7,42.7,1.0,50673,1699,50673,(X),9894,692,19.5,1.4,18237,1193,36.0,1.9,13250,1029,26.1,2.0,3805,537,7.5,1.0,5487,557,10.8,1.0,50673,1699,50673,(X),17,31,0.0,0.1,3099,469,6.1,0.9,1772,359,3.5,0.7,829,236,1.6,0.5,7656,745,15.1,1.5,3018,411,6.0,0.8,1071,309,2.1,0.6,3259,572,6.4,1.1,3913,534,7.7,1.0,14762,1035,29.1,1.8,6588,795,13.0,1.5,3318,523,6.5,1.0,1371,288,2.7,0.6,50673,1699,50673,(X),41254,1561,81.4,1.4,6012,602,11.9,1.2,3371,606,6.7,1.2,36,29,0.1,0.1,22549
6,5,2,3707,5,"Morris Heights, Fordham South & Mount Hope",99680,1765,99680,61297,1626,61.5,1.2,61250,1638,61.4,49890,1599,50.1,11360,922,11.4,0.9,47,56,0.0,0.1,38383,1400,38.5,1.2,61250,1638,61250,(X),18.5,1.4,54957,1303,54957,31578,1019,57.5,1.4,31578,1019,57.5,1.4,25617,1063,46.6,1.6,12164,907,12164,(X),8263,769,67.9,4.6,22444,1079,22444,(X),15889,902,70.8,2.8,47448,1512,47448,(X),5923,670,12.5,1.4,2219,299,4.7,0.6,31808,1462,67.0,1.9,4570,513,9.6,1.1,1039,267,2.2,0.6,1889,311,4.0,0.7,42.1,0.9,49890,1599,49890,(X),7059,520,14.1,1.0,20327,1005,40.7,1.5,11728,775,23.5,1.4,3648,488,7.3,1.0,7128,707,14.3,1.3,49890,1599,49890,(X),111,85,0.2,0.2,2348,405,4.7,0.8,2250,355,4.5,0.7,1144,263,2.3,0.5,6954,617,13.9,1.1,3283,431,6.6,0.9,642,169,1.3,0.3,3123,425,6.3,0.8,3689,417,7.4,0.8,14543,955,29.2,1.7,6599,751,13.2,1.4,4083,513,8.2,1.0,1121,248,2.2,0.5,49890,1599,49890,(X),41015,1483,82.2,1.5,5031,554,10.1,1.0,3800,385,7.6,0.8,44,47,0.1,0.1,47124
7,5,2,3708,4,"Concourse, Highbridge & Mount Eden",105468,2158,105468,60390,1658,57.3,1.0,60378,1660,57.2,50670,1501,48.0,9708,825,9.2,0.7,12,28,0.0,0.1,45078,1374,42.7,1.0,60378,1660,60378,(X),16.1,1.2,57702,1392,57702,30369,1196,52.6,1.5,30369,1196,52.6,1.5,25398,1068,44.0,1.5,12561,867,12561,(X),7748,716,61.7,3.9,25118,1105,25118,(X),16737,1095,66.6,3.2,49143,1428,49143,(X),6643,667,13.5,1.4,2036,379,4.1,0.8,32557,1329,66.2,2.0,4509,597,9.2,1.1,1333,287,2.7,0.6,2065,396,4.2,0.8,40.0,0.9,50670,1501,50670,(X),8528,739,16.8,1.4,19565,1094,38.6,2.0,12273,877,24.2,1.6,3240,525,6.4,1.0,7064,632,13.9,1.1,50670,1501,50670,(X),43,42,0.1,0.1,2182,423,4.3,0.8,2369,359,4.7,0.7,1161,272,2.3,0.5,7070,723,14.0,1.4,3738,521,7.4,1.0,748,264,1.5,0.5,2798,458,5.5,0.9,3716,515,7.3,1.0,15098,867,29.8,1.6,6367,710,12.6,1.3,3604,564,7.1,1.1,1776,336,3.5,0.6,50670,1501,50670,(X),40714,1367,80.4,1.3,6485,647,12.8,1.2,3417,477,6.7,0.9,54,57,0.1,0.1,31713
8,5,2,3709,9,"Castle Hill, Clason Point & Parkchester",145342,2611,145342,86937,2374,59.8,1.0,86863,2371,59.8,75033,2159,51.6,11830,993,8.1,0.7,74,112,0.1,0.1,58405,1681,40.2,1.0,86863,2371,86863,(X),13.6,1.0,78467,1458,78467,42686,1343,54.4,1.3,42618,1334,54.3,1.3,36636,1138,46.7,1.2,15509,927,15509,(X),9724,747,62.7,3.1,28980,1217,28980,(X),19675,1249,67.9,3.2,73057,2117,73057,(X),16788,966,23.0,1.3,3871,544,5.3,0.7,45083,1783,61.7,1.6,4167,572,5.7,0.8,1310,337,1.8,0.4,1838,401,2.5,0.6,44.8,0.7,75033,2159,75033,(X),17343,1047,23.1,1.2,22585,1110,30.1,1.3,19829,1130,26.4,1.3,6708,936,8.9,1.2,8568,674,11.4,0.9,75033,2159,75033,(X),22,26,0.0,0.1,5000,824,6.7,1.1,2652,509,3.5,0.7,1374,273,1.8,0.4,8743,843,11.7,1.0,5631,644,7.5,0.9,1759,381,2.3,0.5,5177,418,6.9,0.5,6513,705,8.7,0.9,22558,1210,30.1,1.4,8400,805,11.2,1.0,4104,538,5.5,0.7,3100,414,4.1,0.5,75033,2159,75033,(X),57925,1935,77.2,1.3,13453,927,17.9,1.1,3577,484,4.8,0.6,78,57,0.1,0.1,53740
9,5,2,3710,1 & 2,"Hunts Point, Longwood & Melrose",116399,2315,116399,57674,1957,49.5,1.2,57638,1956,49.5,48764,1910,41.9,8874,692,7.6,0.6,36,36,0.0,0.1,58725,1616,50.5,1.2,57638,1956,57638,(X),15.4,1.2,59854,1526,59854,28989,1194,48.4,1.6,28971,1193,48.4,1.6,24405,1150,40.8,1.6,14590,806,14590,(X),8252,679,56.6,3.7,27997,1228,27997,(X),17400,1170,62.1,3.2,47494,1892,47494,(X),5730,545,12.1,1.1,1289,265,2.7,0.6,32266,1554,67.9,1.6,5569,671,11.7,1.3,704,173,1.5,0.4,1936,411,4.1,0.8,41.1,0.9,48764,1910,48764,(X),7591,501,15.6,1.0,19548,1156,40.1,1.8,11413,756,23.4,1.3,3197,426,6.6,0.8,7015,784,14.4,1.3,48764,1910,48764,(X),32,38,0.1,0.1,2450,358,5.0,0.7,2039,361,4.2,0.7,1017,265,2.1,0.5,6490,678,13.3,1.3,3022,409,6.2,0.8,558,158,1.1,0.3,2784,346,5.7,0.7,4073,449,8.4,0.9,13579,766,27.8,1.5,8023,966,16.5,1.7,3390,510,7.0,1.0,1307,265,2.7,0.5,48764,1910,48764,(X),39762,1649,81.5,1.5,5916,613,12.1,1.2,3010,388,6.2,0.7,76,80,0.2,0.2,164947
10,61,1,3801,12,"Washington Heights, Inwood & Marble Hill",180291,2890,180291,118753,2563,65.9,1.0,118592,2530,65.8,101521,2538,56.3,17071,1294,9.5,0.7,161,155,0.1,0.1,61538,2127,34.1,1.0,118592,2530,118592,(X),14.4,1.1,91738,1888,91738,55002,1674,60.0,1.4,55002,1674,60.0,1.4,47455,1677,51.7,1.5,13856,936,13856,(X),9303,823,67.1,4.4,22120,1266,22120,(X),16810,1245,76.0,3.2,97766,2456,97766,(X),8925,869,9.1,0.9,4440,556,4.5,0.6,64371,2034,65.8,1.4,12178,1280,12.5,1.2,2391,531,2.4,0.5,5461,578,5.6,0.6,39.7,1.0,101521,2538,101521,(X),32647,1397,32.2,1.2,31311,1792,30.8,1.5,21624,1376,21.3,1.3,4940,703,4.9,0.7,10999,1002,10.8,0.9,101521,2538,101521,(X),92,75,0.1,0.1,3210,736,3.2,0.7,4666,634,4.6,0.6,1714,427,1.7,0.4,12140,1203,12.0,1.1,4737,642,4.7,0.6,3626,535,3.6,0.5,7578,841,7.5,0.8,11001,1038,10.8,1.0,27179,1334,26.8,1.2,16542,1467,16.3,1.4,6770,877,6.7,0.8,2266,339,2.2,0.3,101521,2538,101521,(X),84234,2682,83.0,1.0,10493,812,10.3,0.8,6691,704,6.6,0.7,103,84,0.1,0.1,59709
11,61,1,3802,9,"Hamilton Heights, Manhattanville & West Harlem",111734,2751,111734,64963,2035,58.1,1.5,64927,2032,58.1,58662,1868,52.5,6265,742,5.6,0.6,36,42,0.0,0.1,46771,2176,41.9,1.5,64927,2032,64927,(X),9.6,1.1,60313,1910,60313,32770,1434,54.3,1.9,32770,1434,54.3,1.9,29654,1353,49.2,1.8,6752,862,6752,(X),4212,647,62.4,6.3,12788,1025,12788,(X),8383,912,65.6,4.3,57422,1902,57422,(X),3659,544,6.4,1.0,1060,293,1.8,0.5,40265,1836,70.1,1.8,7594,743,13.2,1.2,1267,309,2.2,0.5,3577,412,6.2,0.7,34.9,0.8,58662,1868,58662,(X),27714,1316,47.2,1.8,13194,1076,22.5,1.7,11849,1060,20.2,1.6,1948,430,3.3,0.7,3957,574,6.7,1.0,58662,1868,58662,(X),71,67,0.1,0.1,1468,323,2.5,0.6,1780,373,3.0,0.6,759,250,1.3,0.4,5193,660,8.9,1.1,1812,447,3.1,0.7,3058,476,5.2,0.8,4438,594,7.6,1.0,7374,899,12.6,1.4,19783,1164,33.7,1.9,7949,885,13.6,1.4,3399,533,5.8,0.9,1578,377,2.7,0.6,58662,1868,58662,(X),47960,1814,81.8,1.3,6395,657,10.9,1.1,4296,599,7.3,1.0,11,18,0.0,0.1,33089
12,61,1,3803,10,Central Harlem,105201,1865,105201,64709,1578,61.5,1.3,64658,1567,61.5,55748,1379,53.0,8910,815,8.5,0.7,51,49,0.0,0.1,40492,1666,38.5,1.3,64658,1567,64658,(X),13.8,1.1,57563,1549,57563,33753,1286,58.6,1.7,33753,1286,58.6,1.7,29128,1162,50.6,1.7,9974,942,9974,(X),6018,816,60.3,5.4,16091,1033,16091,(X),11322,839,70.4,3.9,54429,1358,54429,(X),4475,620,8.2,1.1,1145,261,2.1,0.5,39709,1232,73.0,1.6,4239,512,7.8,0.9,1538,365,2.8,0.7,3323,598,6.1,1.1,35.3,0.8,55748,1379,55748,(X),23409,1260,42.0,2.0,13293,863,23.8,1.5,13373,953,24.0,1.6,1482,325,2.7,0.6,4191,565,7.5,1.0,55748,1379,55748,(X),24,21,0.0,0.1,1141,255,2.0,0.4,1280,297,2.3,0.5,780,241,1.4,0.4,5689,715,10.2,1.2,3247,534,5.8,1.0,2402,323,4.3,0.6,4774,603,8.6,1.0,7363,637,13.2,1.1,15936,1001,28.6,1.7,6825,662,12.2,1.1,3182,459,5.7,0.8,3105,406,5.6,0.7,55748,1379,55748,(X),42123,1378,75.6,1.2,10072,703,18.1,1.3,3553,397,6.4,0.7,0,27,0.0,0.1,36642
13,61,1,3804,11,East Harlem,98151,2515,98151,54036,1884,55.1,1.4,54036,1884,55.1,47509,1898,48.4,6527,621,6.6,0.6,0,27,0.0,0.1,44115,1831,44.9,1.4,54036,1884,54036,(X),12.1,1.2,53939,1513,53939,27418,1166,50.8,1.8,27418,1166,50.8,1.8,24156,1207,44.8,1.9,8006,947,8006,(X),4731,683,59.1,6.5,16455,1127,16455,(X),10022,995,60.9,4.7,46578,1845,46578,(X),3037,376,6.5,0.8,633,180,1.4,0.4,33543,1610,72.0,1.6,6457,686,13.9,1.4,1385,330,3.0,0.7,1523,381,3.3,0.8,34.1,0.8,47509,1898,47509,(X),17914,998,37.7,1.8,12814,1216,27.0,2.1,11481,884,24.2,1.6,1846,393,3.9,0.8,3454,518,7.3,1.1,47509,1898,47509,(X),61,46,0.1,0.1,1358,299,2.9,0.6,1426,372,3.0,0.8,722,245,1.5,0.5,5649,731,11.9,1.4,1958,377,4.1,0.8,1316,270,2.8,0.6,4406,501,9.3,1.1,5829,700,12.3,1.4,14267,890,30.0,1.8,6320,1131,13.3,2.1,2562,384,5.4,0.8,1635,319,3.4,0.6,47509,1898,47509,(X),39847,1704,83.9,1.4,5745,612,12.1,1.2,1779,326,3.7,0.7,138,139,0.3,0.3,21398
14,61,1,3805,8,Upper East Side,190644,3394,190644,136684,3017,71.7,0.9,136641,3010,71.7,130118,2883,68.3,6523,899,3.4,0.5,43,56,0.0,0.1,53960,1940,28.3,0.9,136641,3010,136641,(X),4.8,0.6,109976,2522,109976,73378,2370,66.7,1.4,73378,2370,66.7,1.4,69912,2261,63.6,1.3,13797,1254,13797,(X),8034,945,58.2,5.3,17105,1234,17105,(X),10044,949,58.7,3.8,128398,2791,128398,(X),9313,821,7.3,0.6,2428,463,1.9,0.4,72279,2604,56.3,1.3,24808,1507,19.3,1.1,9571,861,7.5,0.7,9999,1016,7.8,0.8,30.4,0.6,130118,2883,130118,(X),91269,2651,70.1,1.3,6851,709,5.3,0.5,28826,1720,22.2,1.2,1357,383,1.0,0.3,1815,509,1.4,0.4,130118,2883,130118,(X),25,29,0.0,0.1,1613,363,1.2,0.3,3650,621,2.8,0.5,3700,530,2.8,0.4,7703,852,5.9,0.6,1492,388,1.1,0.3,8445,1141,6.5,0.9,29442,1654,22.6,1.2,29089,1847,22.4,1.3,29142,1606,22.4,1.0,8541,947,6.6,0.7,3638,579,2.8,0.4,3638,582,2.8,0.5,130118,2883,130118,(X),111957,2741,86.0,1.0,8099,788,6.2,0.6,9796,1072,7.5,0.8,266,138,0.2,0.1,1982
15,61,1,3806,7,Upper West Side & West Side,168498,3292,168498,118184,2665,70.1,1.1,118184,2665,70.1,110780,2583,65.7,7404,736,4.4,0.4,0,27,0.0,0.1,50314,2164,29.9,1.1,118184,2665,118184,(X),6.3,0.6,91988,2363,91988,59870,1968,65.1,1.4,59870,1968,65.1,1.4,56495,1917,61.4,1.4,13454,1135,13454,(X),8147,936,60.6,4.9,16147,1293,16147,(X),10555,1133,65.4,4.3,108018,2643,108018,(X),6338,915,5.9,0.8,1681,390,1.6,0.4,72559,2272,67.2,1.6,13000,1180,12.0,1.0,5406,571,5.0,0.5,9034,963,8.4,0.9,29.9,0.5,110780,2583,110780,(X),81352,2079,73.4,1.2,8102,957,7.3,0.8,18062,1164,16.3,1.0,1547,422,1.4,0.4,1717,468,1.5,0.4,110780,2583,110780,(X),158,126,0.1,0.1,1115,337,1.0,0.3,2885,425,2.6,0.4,1933,464,1.7,0.4,4963,556,4.5,0.5,1117,308,1.0,0.3,8908,1087,8.0,0.9,20492,1337,18.5,1.2,24316,1531,21.9,1.3,27352,1763,24.7,1.4,10435,1018,9.4,0.9,4323,669,3.9,0.6,2783,483,2.5,0.4,110780,2583,110780,(X),89493,2333,80.8,1.1,8874,994,8.0,0.9,12232,987,11.0,0.9,181,156,0.2,0.1,623534
